City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
323,Gainesville,US,29.6516,-82.3248,64.99,94,40,6.91,scattered clouds
324,Ola,RU,59.5833,151.2833,8.65,73,100,16.8,overcast clouds
325,Yulara,AU,-25.2406,130.9889,59.0,51,8,9.22,clear sky
326,Nantucket,US,41.2835,-70.0995,46.4,93,90,17.27,mist
327,Tual,ID,-5.6667,132.75,82.6,73,31,8.9,scattered clouds
328,Evanston,US,42.0411,-87.6901,55.4,66,90,6.91,overcast clouds
329,Khasan,RU,42.4308,130.6434,41.4,94,100,2.44,overcast clouds
330,Airai,TL,-8.9266,125.4092,58.24,88,29,2.24,scattered clouds
331,Charters Towers,AU,-20.1,146.2667,67.01,49,1,13.98,clear sky
332,Tuatapere,NZ,-46.1333,167.6833,48.99,98,79,1.99,broken clouds
333,Ilhabela,BR,-23.7781,-45.3581,78.78,67,0,5.41,clear sky
334,Mogadishu,SO,2.0371,45.3438,82.29,70,97,16.15,overcast clouds
335,Lavrentiya,RU,65.5833,-171.0,4.89,75,100,31.14,overcast clouds
336,Kamina,CD,-8.7386,24.9906,64.04,95,100,2.66,overcast clouds
337,Adrar,MR,20.5022,-10.0711,82.17,16,28,12.21,scattered clouds
338,Sharan,RU,54.8167,54.0,45.43,83,100,3.2,light rain
339,Lumphat,KH,13.4878,106.9816,76.19,73,16,6.29,few clouds
340,Harboore,DK,56.6175,8.1807,37.0,3,100,14.41,overcast clouds
341,Eydhafushi,MV,5.1033,73.0708,82.71,70,9,2.04,clear sky
342,Byron Bay,AU,-28.65,153.6167,57.2,54,90,6.91,overcast clouds
343,Cranendonck,NL,51.2775,5.5837,41.0,70,40,4.61,scattered clouds
344,Niles,US,42.0189,-87.8028,54.0,66,90,6.91,overcast clouds
345,Mariveles,PH,14.4833,120.4833,79.0,83,20,4.61,few clouds
